Weekday_Weekend,Calendar_Week,Fiscal_Week,Date,Industry,Day,Fiscal_Period,Day_Count,Cume
Weekend,11,P3W3,2024-03-08,41337474.62,Friday,Period 3,71,1179934066
Weekend,11,P3W3,2024-03-09,55149936.13,Saturday,Period 3,72,1235084002
Weekend,11,P3W3,2024-03-10,37592443.28,Sunday,Period 3,73,1272676445
Weekday,11,P3W3,2024-03-11,12399790.39,Monday,Period 3,74,1285076235
Weekday,11,P3W3,2024-03-12,16143937.33,Tuesday,Period 3,75,1301220173
Weekday,11,P3W3,2024-03-13,11829173.11,Wednesday,Period 3,76,1313049346
Weekday,11,P3W3,2024-03-14,11792504.41,Thursday,Period 3,77,1324841850
Weekend,12,P3W4,2024-03-15,26685202.99,Friday,Period 3,78,1351527053
Weekend,12,P3W4,2024-03-16,35175605.33,Saturday,Period 3,79,1386702658
Weekend,12,P3W4,2024-03-17,24788507.78,Sunday,Period 3,80,1411491166
Weekday,12,P3W4,2024-03-18,7569886.81,Monday,Period 3,81,1419061053
Weekday,12,P3W4,2024-03-19,10198341.24,Tuesday,Period 3,82,1429259394
Weekday,12,P3W4,2024-03-20,9076707.11,Wednesday,Period 3,83,1438336101
Weekday,12,P3W4,2024-03-21,7420105.5,Thursday,Period 3,84,1445756207
Weekend,13,P3W5,2024-03-22,30642398.74,Friday,Period 3,85,1476398606
Weekend,13,P3W5,2024-03-23,41710757.13,Saturday,Period 3,86,1518109363
Weekend,13,P3W5,2024-03-24,27133626.4,Sunday,Period 3,87,1545242989
Weekday,13,P3W5,2024-03-25,8986701.3,Monday,Period 3,88,1554229690
Weekday,13,P3W5,2024-03-26,13141216.36,Tuesday,Period 3,89,1567370907
Weekday,13,P3W5,2024-03-27,10468908.58,Wednesday,Period 3,90,1577839815
Weekday,13,P3W5,2024-03-28,9981819.263,Thursday,Period 3,91,1587821635
Weekend,14,P4W1,2024-03-29,55568049.32,Friday,Period 4,92,1643389684
Weekend,14,P4W1,2024-03-30,47498533.57,Saturday,Period 4,93,1690888218
Weekend,14,P4W1,2024-03-31,29529386.42,Sunday,Period 4,94,1720417604
Weekday,14,P4W1,2024-04-01,15834103.78,Monday,Period 4,95,1736251708
Weekday,14,P4W1,2024-04-02,14122453.06,Tuesday,Period 4,96,1750374161
Weekday,14,P4W1,2024-04-03,10726149.61,Wednesday,Period 4,97,1761100310
Weekday,14,P4W1,2024-04-04,9672954.377,Thursday,Period 4,98,1770773265
Weekend,15,P4W2,2024-04-05,26925081.61,Friday,Period 4,99,1797698346
Weekend,15,P4W2,2024-04-06,34871643.73,Saturday,Period 4,100,1832569990
Weekend,15,P4W2,2024-04-07,22999967.5,Sunday,Period 4,101,1855569958
Weekday,15,P4W2,2024-04-08,5538324.13,Monday,Period 4,102,1861108282
Weekday,15,P4W2,2024-04-09,8356049.59,Tuesday,Period 4,103,1869464331
Weekday,15,P4W2,2024-04-10,7947552.332,Wednesday,Period 4,104,1877411884
Weekday,15,P4W2,2024-04-11,5815263.856,Thursday,Period 4,105,1883227148
Weekend,16,P4W3,2024-04-12,24368175.06,Friday,Period 4,106,1907595323
Weekend,16,P4W3,2024-04-13,31179526.84,Saturday,Period 4,107,1938774849
Weekend,16,P4W3,2024-04-14,19434066.04,Sunday,Period 4,108,1958208916
Weekday,16,P4W3,2024-04-15,6267093,Monday,Period 4,109,1964476009
Weekday,16,P4W3,2024-04-16,8402586.122,Tuesday,Period 4,110,1972878595
Weekday,16,P4W3,2024-04-17,6127219.718,Wednesday,Period 4,111,1979005814
Weekday,16,P4W3,2024-04-18,5328942.156,Thursday,Period 4,112,1984334757
Weekend,17,P4W4,2024-04-19,20912802.14,Friday,Period 4,113,2005247559
Weekend,17,P4W4,2024-04-20,27078559.71,Saturday,Period 4,114,2032326118
Weekend,17,P4W4,2024-04-21,17815164.63,Sunday,Period 4,115,2050141283
Weekday,17,P4W4,2024-04-22,5569377.91,Monday,Period 4,116,2055710661
Weekday,17,P4W4,2024-04-23,7473144.535,Tuesday,Period 4,117,2063183805
Weekday,17,P4W4,2024-04-24,5907732.256,Wednesday,Period 4,118,2069091538
Weekday,17,P4W4,2024-04-25,4653564.636,Thursday,Period 4,119,2073745102
Weekend,18,P5W1,2024-04-26,20934511.46,Friday,Period 5,120,2094679614
Weekend,18,P5W1,2024-04-27,25103057.92,Saturday,Period 5,121,2119782672
Weekend,18,P5W1,2024-04-28,17497741.03,Sunday,Period 5,122,2137280413
Weekday,18,P5W1,2024-04-29,6339836.35,Monday,Period 5,123,2143620249
Weekday,18,P5W1,2024-04-30,8227749.751,Tuesday,Period 5,124,2151847999
Weekday,18,P5W1,2024-05-01,5317031.235,Wednesday,Period 5,125,2157165030
Weekday,18,P5W1,2024-05-02,4580550.766,Thursday,Period 5,126,2161745581
Weekend,19,P5W2,2024-05-03,23345273.68,Friday,Period 5,127,2185090855
Weekend,19,P5W2,2024-05-04,29797413.6,Saturday,Period 5,128,2214888268
Weekend,19,P5W2,2024-05-05,18834639.41,Sunday,Period 5,129,2233722908
Weekday,19,P5W2,2024-05-06,6188632.04,Monday,Period 5,130,2239911540
Weekday,19,P5W2,2024-05-07,8630407.71,Tuesday,Period 5,131,2248541947
Weekday,19,P5W2,2024-05-08,5632263.878,Wednesday,Period 5,132,2254174211
Weekday,19,P5W2,2024-05-09,4862855.541,Thursday,Period 5,133,2259037067
Weekend,20,P5W3,2024-05-10,31198951.47,Friday,Period 5,134,2290236018
Weekend,20,P5W3,2024-05-11,34629615.13,Saturday,Period 5,135,2324865633
Weekend,20,P5W3,2024-05-12,27740992.21,Sunday,Period 5,136,2352606626
Weekday,20,P5W3,2024-05-13,8208255.03,Monday,Period 5,137,2360814881
Weekday,20,P5W3,2024-05-14,10879567.16,Tuesday,Period 5,138,2371694448
Weekday,20,P5W3,2024-05-15,7655607.962,Wednesday,Period 5,139,2379350056
Weekday,20,P5W3,2024-05-16,5966425.386,Thursday,Period 5,140,2385316481
Weekend,21,P5W4,2024-05-17,29196920.02,Friday,Period 5,141,2414513401
Weekend,21,P5W4,2024-05-18,38223567.66,Saturday,Period 5,142,2452736969
Weekend,21,P5W4,2024-05-19,26363245.39,Sunday,Period 5,143,2479100214
Weekday,21,P5W4,2024-05-20,9374711.97,Monday,Period 5,144,2488474926
Weekday,21,P5W4,2024-05-21,10434314.91,Tuesday,Period 5,145,2498909241
Weekday,21,P5W4,2024-05-22,7521035.851,Wednesday,Period 5,146,2506430277
Weekday,21,P5W4,2024-05-23,6230325.086,Thursday,Period 5,147,2512660602
Weekend,22,P6W1,2024-05-24,31855728.82,Friday,Period 6,148,2544516331
Weekend,22,P6W1,2024-05-25,34359150.85,Saturday,Period 6,149,2578875482
Weekend,22,P6W1,2024-05-26,31446556.18,Sunday,Period 6,150,2610322038
Weekday,22,P6W1,2024-05-27,28855469.75,Monday,Period 6,151,2639177508
Weekday,22,P6W1,2024-05-28,11857809.45,Tuesday,Period 6,152,2651035317
Weekday,22,P6W1,2024-05-29,8730681.067,Wednesday,Period 6,153,2659765998
Weekday,22,P6W1,2024-05-30,8344369.037,Thursday,Period 6,154,2668110367
Weekend,23,P6W2,2024-05-31,19654115.66,Friday,Period 6,155,2687764483
Weekend,23,P6W2,2024-06-01,25484756.94,Saturday,Period 6,156,2713249240
Weekend,23,P6W2,2024-06-02,19237377.28,Sunday,Period 6,157,2732486617
Weekday,23,P6W2,2024-06-03,7533668.78,Monday,Period 6,158,2740020286
Weekday,23,P6W2,2024-06-04,11214964.06,Tuesday,Period 6,159,2751235250
Weekday,23,P6W2,2024-06-05,8657459.425,Wednesday,Period 6,160,2759892709
Weekday,23,P6W2,2024-06-06,6344241.383,Thursday,Period 6,161,2766236951
Weekend,24,P6W3,2024-06-07,33973755.8,Friday,Period 6,162,2800210706
Weekend,24,P6W3,2024-06-08,37529077.1,Saturday,Period 6,163,2837739784
Weekend,24,P6W3,2024-06-09,29181620.66,Sunday,Period 6,164,2866921404
Weekday,24,P6W3,2024-06-10,12941943.24,Monday,Period 6,165,2879863347
Weekday,24,P6W3,2024-06-11,14663723.86,Tuesday,Period 6,166,2894527071
Weekday,24,P6W3,2024-06-12,10114973.95,Wednesday,Period 6,167,2904642045
Weekday,24,P6W3,2024-06-13,8510881.91,Thursday,Period 6,168,2913152927
Weekend,25,P6W4,2024-06-14,75447062.52,Friday,Period 6,169,2988599990
Weekend,25,P6W4,2024-06-15,69545442.79,Saturday,Period 6,170,3058145432
Weekend,25,P6W4,2024-06-16,58617221.87,Sunday,Period 6,171,3116762654
Weekday,25,P6W4,2024-06-17,28052329.99,Monday,Period 6,172,3144814984
Weekday,25,P6W4,2024-06-18,36778328.32,Tuesday,Period 6,173,3181593313
Weekday,25,P6W4,2024-06-19,38619856.76,Wednesday,Period 6,174,3220213169
Weekday,25,P6W4,2024-06-20,25829765.29,Thursday,Period 6,175,3246042935
Weekend,26,P6W5,2024-06-21,45145420.33,Friday,Period 6,176,3291188355
Weekend,26,P6W5,2024-06-22,56481834.37,Saturday,Period 6,177,3347670189
Weekend,26,P6W5,2024-06-23,44664293.17,Sunday,Period 6,178,3392334483
Weekday,26,P6W5,2024-06-24,17705065.35,Monday,Period 6,179,3410039548
Weekday,26,P6W5,2024-06-25,25226155.9,Tuesday,Period 6,180,3435265704
Weekday,26,P6W5,2024-06-26,18285624.88,Wednesday,Period 6,181,3453551329
Weekday,26,P6W5,2024-06-27,20761179.75,Thursday,Period 6,182,3474312508
Weekend,27,P7W1,2024-06-28,51502769.98,Friday,Period 7,183,3525815278
Weekend,27,P7W1,2024-06-29,53709087.64,Saturday,Period 7,184,3579524366
Weekend,27,P7W1,2024-06-30,41907186.3,Sunday,Period 7,185,3621431552
Weekday,27,P7W1,2024-07-01,18580458.96,Monday,Period 7,186,3640012011
Weekday,27,P7W1,2024-07-02,23874029.56,Tuesday,Period 7,187,3663886041
Weekday,27,P7W1,2024-07-03,41622597.34,Wednesday,Period 7,188,3705508638
Weekday,27,P7W1,2024-07-04,39760492.31,Thursday,Period 7,189,3745269130
Weekend,28,P7W2,2024-07-05,53328281.51,Friday,Period 7,190,3798597412
Weekend,28,P7W2,2024-07-06,54292563.9,Saturday,Period 7,191,3852889976
Weekend,28,P7W2,2024-07-07,41288425.6,Sunday,Period 7,192,3894178401
Weekday,28,P7W2,2024-07-08,17712335.15,Monday,Period 7,193,3911890737
Weekday,28,P7W2,2024-07-09,27373504.66,Tuesday,Period 7,194,3939264241
Weekday,28,P7W2,2024-07-10,19930702.18,Wednesday,Period 7,195,3959194943
Weekday,28,P7W2,2024-07-11,17145278.12,Thursday,Period 7,196,3976340222
Weekend,29,P7W3,2024-07-12,42412760.74,Friday,Period 7,197,4018752982
Weekend,29,P7W3,2024-07-13,45800706.42,Saturday,Period 7,198,4064553689
Weekend,29,P7W3,2024-07-14,31737070.64,Sunday,Period 7,199,4096290759
Weekday,29,P7W3,2024-07-15,14839158.4,Monday,Period 7,200,4111129918
Weekday,29,P7W3,2024-07-16,21819926.61,Tuesday,Period 7,201,4132949844
Weekday,29,P7W3,2024-07-17,14919729.54,Wednesday,Period 7,202,4147869574
Weekday,29,P7W3,2024-07-18,12413616.25,Thursday,Period 7,203,4160283190
Weekend,30,P7W4,2024-07-19,50507523.1,Friday,Period 7,204,4210790713
Weekend,30,P7W4,2024-07-20,52169262.53,Saturday,Period 7,205,4262959976
Weekend,30,P7W4,2024-07-21,40312791.59,Sunday,Period 7,206,4303272767
Weekday,30,P7W4,2024-07-22,18078375.34,Monday,Period 7,207,4321351143
Weekday,30,P7W4,2024-07-23,25559594.88,Tuesday,Period 7,208,4346910738
Weekday,30,P7W4,2024-07-24,20131447.46,Wednesday,Period 7,209,4367042185
Weekday,30,P7W4,2024-07-25,14067709.99,Thursday,Period 7,210,4381109895
Weekend,31,P8W1,2024-07-26,114478171.4,Friday,Period 8,211,4495588066
Weekend,31,P8W1,2024-07-27,87104375.45,Saturday,Period 8,212,4582692442
Weekend,31,P8W1,2024-07-28,73344982.97,Sunday,Period 8,213,4656037425
Weekday,31,P8W1,2024-07-29,33591618.39,Monday,Period 8,214,4689629043
Weekday,31,P8W1,2024-07-30,37669028.36,Tuesday,Period 8,215,4727298072
Weekday,31,P8W1,2024-07-31,29681741.83,Wednesday,Period 8,216,4756979813
Weekday,31,P8W1,2024-08-01,26514150.92,Thursday,Period 8,217,4783493964
Weekend,32,P8W2,2024-08-02,50541901.75,Friday,Period 8,218,4834035866
Weekend,32,P8W2,2024-08-03,63957091.48,Saturday,Period 8,219,4897992958
Weekend,32,P8W2,2024-08-04,50208796.44,Sunday,Period 8,220,4948201754
Weekday,32,P8W2,2024-08-05,21838111.51,Monday,Period 8,221,4970039866
Weekday,32,P8W2,2024-08-06,25776606.51,Tuesday,Period 8,222,4995816472
Weekday,32,P8W2,2024-08-07,18761564.4,Wednesday,Period 8,223,5014578036
Weekday,32,P8W2,2024-08-08,16684499.01,Thursday,Period 8,224,5031262535
Weekend,33,P8W3,2024-08-09,55776352.65,Friday,Period 8,225,5087038888
Weekend,33,P8W3,2024-08-10,53802293.05,Saturday,Period 8,226,5140841181
Weekend,33,P8W3,2024-08-11,41123845.64,Sunday,Period 8,227,5181965027
Weekday,33,P8W3,2024-08-12,17557832.53,Monday,Period 8,228,5199522859
Weekday,33,P8W3,2024-08-13,22073067.27,Tuesday,Period 8,229,5221595927
Weekday,33,P8W3,2024-08-14,15940284.76,Wednesday,Period 8,230,5237536211
Weekday,33,P8W3,2024-08-15,17322720.47,Thursday,Period 8,231,5254858932
Weekend,34,P8W4,2024-08-16,45020485.95,Friday,Period 8,232,5299879418
Weekend,34,P8W4,2024-08-17,49743261.02,Saturday,Period 8,233,5349622679
Weekend,34,P8W4,2024-08-18,39593333.82,Sunday,Period 8,234,5389216013
Weekday,34,P8W4,2024-08-19,14769598.49,Monday,Period 8,235,5403985611
Weekday,34,P8W4,2024-08-20,18735990.44,Tuesday,Period 8,236,5422721602
Weekday,34,P8W4,2024-08-21,13639556.15,Wednesday,Period 8,237,5436361158
Weekday,34,P8W4,2024-08-22,11317022.68,Thursday,Period 8,238,5447678180
Weekend,35,P9W1,2024-08-23,27293787.49,Friday,Period 9,239,5474971968
Weekend,35,P9W1,2024-08-24,36440344.72,Saturday,Period 9,240,5511412313
Weekend,35,P9W1,2024-08-25,25875804.37,Sunday,Period 9,241,5537288117
Weekday,35,P9W1,2024-08-26,8995203.22,Monday,Period 9,242,5546283320
Weekday,35,P9W1,2024-08-27,12955151.55,Tuesday,Period 9,243,5559238472
Weekday,35,P9W1,2024-08-28,9502685.24,Wednesday,Period 9,244,5568741157
Weekday,35,P9W1,2024-08-29,8659102.7,Thursday,Period 9,245,5577400260
Weekend,36,P9W2,2024-08-30,22008646.48,Friday,Period 9,246,5599408906
Weekend,36,P9W2,2024-08-31,30125738.78,Saturday,Period 9,247,5629534645
Weekend,36,P9W2,2024-09-01,29822102.57,Sunday,Period 9,248,5659356748
Weekday,36,P9W2,2024-09-02,23709072.92,Monday,Period 9,249,5683065820
Weekday,36,P9W2,2024-09-03,8989765.98,Tuesday,Period 9,250,5692055586
Weekday,36,P9W2,2024-09-04,6847666.6,Wednesday,Period 9,251,5698903253
Weekday,36,P9W2,2024-09-05,4764587.98,Thursday,Period 9,252,5703667841
Weekend,37,P9W3,2024-09-06,50291266.76,Friday,Period 9,253,5753959108
Weekend,37,P9W3,2024-09-07,56697360.48,Saturday,Period 9,254,5810656468
Weekend,37,P9W3,2024-09-08,35721400.13,Sunday,Period 9,255,5846377868
Weekday,37,P9W3,2024-09-09,9109355.92,Monday,Period 9,256,5855487224
Weekday,37,P9W3,2024-09-10,13030147.35,Tuesday,Period 9,257,5868517372
Weekday,37,P9W3,2024-09-11,8749859.21,Wednesday,Period 9,258,5877267231
Weekday,37,P9W3,2024-09-12,8082086.61,Thursday,Period 9,259,5885349317
Weekend,38,P9W4,2024-09-13,29528165.06,Friday,Period 9,260,5914877483
Weekend,38,P9W4,2024-09-14,39237358.37,Saturday,Period 9,261,5954114841
Weekend,38,P9W4,2024-09-15,25683522.36,Sunday,Period 9,262,5979798363
Weekday,38,P9W4,2024-09-16,7013851.44,Monday,Period 9,263,5986812215
Weekday,38,P9W4,2024-09-17,10707383.99,Tuesday,Period 9,264,5997519599
Weekday,38,P9W4,2024-09-18,8058819.74,Wednesday,Period 9,265,6005578418
Weekday,38,P9W4,2024-09-19,6196854.53,Thursday,Period 9,266,6011775273
Weekend,39,P9W5,2024-09-20,25677231.82,Friday,Period 9,267,6037452505
Weekend,39,P9W5,2024-09-21,33297969.92,Saturday,Period 9,268,6070750475
Weekend,39,P9W5,2024-09-22,21423398.17,Sunday,Period 9,269,6092173873
Weekday,39,P9W5,2024-09-23,5908355.003,Monday,Period 9,270,6098082228
Weekday,39,P9W5,2024-09-24,8924486.039,Tuesday,Period 9,271,6107006714
Weekday,39,P9W5,2024-09-25,5885482.58,Wednesday,Period 9,272,6112892196
Weekday,39,P9W5,2024-09-26,5278479.785,Thursday,Period 9,273,6118170676
Weekend,40,P10W1,2024-09-27,30274422.83,Friday,Period 10,274,6148445099
Weekend,40,P10W1,2024-09-28,36528339.8,Saturday,Period 10,275,6184973439
Weekend,40,P10W1,2024-09-29,25060762.02,Sunday,Period 10,276,6210034201
Weekday,40,P10W1,2024-09-30,6819563.11,Monday,Period 10,277,6216853764
Weekday,40,P10W1,2024-10-01,8457420.12,Tuesday,Period 10,278,6225311184
Weekday,40,P10W1,2024-10-02,6620386.17,Wednesday,Period 10,279,6231931570
Weekday,40,P10W1,2024-10-03,5550876.24,Thursday,Period 10,280,6237482447
Weekend,41,P10W2,2024-10-04,33236152.13,Friday,Period 10,281,6270718599
Weekend,41,P10W2,2024-10-05,32261007.69,Saturday,Period 10,282,6302979606
Weekend,41,P10W2,2024-10-06,20842776.76,Sunday,Period 10,283,6323822383
Weekday,41,P10W2,2024-10-07,6607409.01,Monday,Period 10,284,6330429792
Weekday,41,P10W2,2024-10-08,9084788.44,Tuesday,Period 10,285,6339514581
Weekday,41,P10W2,2024-10-09,5537619.01,Wednesday,Period 10,286,6345052200
Weekday,41,P10W2,2024-10-10,6542093.31,Thursday,Period 10,287,6351594293
Weekend,42,P10W3,2024-10-11,25711149.39,Friday,Period 10,288,6377305442
Weekend,42,P10W3,2024-10-12,27498020.19,Saturday,Period 10,289,6404803462
Weekend,42,P10W3,2024-10-13,21780979.25,Sunday,Period 10,290,6426584442
Weekday,42,P10W3,2024-10-14,13138916.65,Monday,Period 10,291,6439723358
Weekday,42,P10W3,2024-10-15,9343170.2,Tuesday,Period 10,292,6449066529
Weekday,42,P10W3,2024-10-16,6673493.71,Wednesday,Period 10,293,6455740022
Weekday,42,P10W3,2024-10-17,6480225.95,Thursday,Period 10,294,6462220248
Weekend,43,P10W4,2024-10-18,23601699.2,Friday,Period 10,295,6485821947
Weekend,43,P10W4,2024-10-19,27324725.95,Saturday,Period 10,296,6513146673
Weekend,43,P10W4,2024-10-20,18035144.63,Sunday,Period 10,297,6531181818
Weekday,43,P10W4,2024-10-21,6211412.84,Monday,Period 10,298,6537393231
Weekday,43,P10W4,2024-10-22,8744480.94,Tuesday,Period 10,299,6546137712
Weekday,43,P10W4,2024-10-23,6529790.44,Wednesday,Period 10,300,6552667502
Weekday,43,P10W4,2024-10-24,5301193.458,Thursday,Period 10,301,6557968696
Weekend,44,P11W1,2024-10-25,34534670.42,Friday,Period 11,302,6592503366
Weekend,44,P11W1,2024-10-26,32862262.93,Saturday,Period 11,303,6625365629
Weekend,44,P11W1,2024-10-27,24194156.73,Sunday,Period 11,304,6649559786
Weekday,44,P11W1,2024-10-28,7399689.346,Monday,Period 11,305,6656959475
Weekday,44,P11W1,2024-10-29,10954183.07,Tuesday,Period 11,306,6667913658
Weekday,44,P11W1,2024-10-30,7336195.608,Wednesday,Period 11,307,6675249854
Weekday,44,P11W1,2024-10-31,9354679.224,Thursday,Period 11,308,6684604533
Weekend,45,P11W2,2024-11-01,20705366.7,Friday,Period 11,309,6705309900
Weekend,45,P11W2,2024-11-02,30395924.97,Saturday,Period 11,310,6735705825
Weekend,45,P11W2,2024-11-03,20419748.52,Sunday,Period 11,311,6756125573
Weekday,45,P11W2,2024-11-04,6699787.237,Monday,Period 11,312,6762825360
Weekday,45,P11W2,2024-11-05,10529863.07,Tuesday,Period 11,313,6773355224
Weekday,45,P11W2,2024-11-06,5861441.741,Wednesday,Period 11,314,6779216665
Weekday,45,P11W2,2024-11-07,5502908.288,Thursday,Period 11,315,6784719574
Weekend,46,P11W3,2024-11-08,22865856.31,Friday,Period 11,316,6807585430
Weekend,46,P11W3,2024-11-09,28190412.28,Saturday,Period 11,317,6835775842
Weekend,46,P11W3,2024-11-10,20603779.49,Sunday,Period 11,318,6856379622
Weekday,46,P11W3,2024-11-11,11139926.86,Monday,Period 11,319,6867519548
Weekday,46,P11W3,2024-11-12,8546060.229,Tuesday,Period 11,320,6876065609
Weekday,46,P11W3,2024-11-13,5529574.949,Wednesday,Period 11,321,6881595184
Weekday,46,P11W3,2024-11-14,5489344.381,Thursday,Period 11,322,6887084528
Weekend,47,P11W4,2024-11-15,20233869.55,Friday,Period 11,323,6907318398
Weekend,47,P11W4,2024-11-16,30115466.99,Saturday,Period 11,324,6937433865
Weekend,47,P11W4,2024-11-17,19205701.34,Sunday,Period 11,325,6956639566
Weekday,47,P11W4,2024-11-18,5001268.394,Monday,Period 11,326,6961640834
Weekday,47,P11W4,2024-11-19,8405657.838,Tuesday,Period 11,327,6970046492
Weekday,47,P11W4,2024-11-20,5398306.721,Wednesday,Period 11,328,6975444799
Weekday,47,P11W4,2024-11-21,3553567.183,Thursday,Period 11,329,6978998366
Weekend,48,P12W1,2024-11-22,76153782.19,Friday,Period 12,330,7055152148
Weekend,48,P12W1,2024-11-23,67489206.39,Saturday,Period 12,331,7122641355
Weekend,48,P12W1,2024-11-24,52239323.02,Sunday,Period 12,332,7174880678
Weekday,48,P12W1,2024-11-25,25700742.46,Monday,Period 12,333,7200581420
Weekday,48,P12W1,2024-11-26,27817184.32,Tuesday,Period 12,334,7228398604
